Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,023000,2019,06,22,15.0,1,Y
IDCJAC0010,023000,2019,06,23,13.7,1,Y
IDCJAC0010,023000,2019,06,24,11.7,1,Y
IDCJAC0010,023000,2019,06,25,16.8,1,Y
IDCJAC0010,023000,2019,06,26,19.1,1,Y
IDCJAC0010,023000,2019,06,27,21.5,1,Y
IDCJAC0010,023000,2019,06,28,21.9,1,Y
IDCJAC0010,023000,2019,06,29,13.9,1,Y
IDCJAC0010,023000,2019,06,30,13.2,1,Y
IDCJAC0010,023000,2019,07,01,14.5,1,Y
IDCJAC0010,023000,2019,07,02,15.3,1,Y
IDCJAC0010,023000,2019,07,03,17.7,1,Y
IDCJAC0010,023000,2019,07,04,16.5,1,Y
IDCJAC0010,023000,2019,07,05,21.3,1,Y
IDCJAC0010,023000,2019,07,06,21.7,1,Y
IDCJAC0010,023000,2019,07,07,16.3,1,Y
IDCJAC0010,023000,2019,07,08,15.3,1,Y
IDCJAC0010,023000,2019,07,09,16.2,1,Y
IDCJAC0010,023000,2019,07,10,16.6,1,Y
IDCJAC0010,023000,2019,07,11,16.0,1,Y
IDCJAC0010,023000,2019,07,12,14.0,1,Y
IDCJAC0010,023000,2019,07,13,13.2,1,Y
IDCJAC0010,023000,2019,07,14,13.5,1,Y
IDCJAC0010,023000,2019,07,15,13.7,1,Y
IDCJAC0010,023000,2019,07,16,13.2,1,Y
IDCJAC0010,023000,2019,07,17,14.4,1,Y
IDCJAC0010,023000,2019,07,18,14.7,1,Y
IDCJAC0010,023000,2019,07,19,17.9,1,Y
IDCJAC0010,023000,2019,07,20,19.6,1,Y
IDCJAC0010,023000,2019,07,21,15.9,1,Y
IDCJAC0010,023000,2019,07,22,18.4,1,Y
IDCJAC0010,023000,2019,07,23,15.7,1,Y
IDCJAC0010,023000,2019,07,24,16.0,1,Y
